Row Labels,Sum of suicides_no,Sum of population,% of pop,Happiness Rank,Happiness Score
Switzerland,1073,7892502,6.76,1,7.59
Iceland,40,308554,5.49,2,7.56
Denmark,564,5383060,10.12,3,7.53
Norway,590,4882909,3.74,4,7.52
Finland,731,5181797,13.43,6,7.41
Netherlands,1873,16057342,5.82,7,7.38
Sweden,1182,9114524,13.72,8,7.36
Australia,3027,22240785,12.85,10,7.28
Israel,342,7516180,6.54,11,7.28
Austria,1251,8219386,16.22,13,7.20
Mexico,6234,114357884,10.58,14,7.19
United States,44189,300078511,22.50,15,7.12
Brazil,11163,191087085,6.45,16,6.98
Luxembourg,64,537748,6.52,17,6.95
Belgium,1867,10624356,16.39,19,6.94
United Kingdom,4910,61082942,14.62,21,6.87
Singapore,329,3719115,22.07,24,6.80
Panama,110,3583382,13.92,25,6.79
Germany,10088,78136683,12.53,26,6.75
Chile,1838,16565725,12.31,27,6.67
Qatar,66,2354147,32.43,28,6.61
Argentina,3073,39699624,9.34,30,6.57
Czech Republic,1387,9989325,14.24,31,6.51
Uruguay,630,3190795,0.00,32,6.49
Colombia,2332,44490427,5.87,33,6.48
Thailand,4205,61261276,2.37,34,6.46
Spain,3604,44186528,12.44,36,6.33
Malta,34,410637,8.33,37,6.30
Guatemala,494,14258397,21.44,43,6.12
Japan,23092,120376310,19.84,46,5.99
Ecuador,1073,14534024,8.12,48,5.98
Italy,3988,58117697,17.17,50,5.95
Kazakhstan,2872,15646752,8.20,54,5.86
Slovenia,422,1954632,1.08,55,5.85
Lithuania,896,2753926,11.20,56,5.83
Nicaragua,315,5476483,11.37,57,5.83
Poland,5420,36086575,7.13,60,5.79
Croatia,739,4001669,19.14,62,5.76
Cyprus,40,796037,4.13,67,5.69
Turkmenistan,133,4886514,20.39,70,5.55
Mauritius,104,1154848,5.55,71,5.48
Estonia,195,1243450,17.12,73,5.43
Turkey,1532,71880464,2.37,76,5.33
Kyrgyzstan,417,5195827,20.96,77,5.29
Romania,2228,18863927,19.74,86,5.12
Serbia,1062,6766406,6.77,87,5.12
Latvia,387,1875522,32.12,89,5.10
Greece,529,10331286,0.00,102,4.86
Hungary,1868,9389519,11.72,104,4.80
Ukraine,7574,40345446,7.23,111,4.68
South Africa,482,49627460,8.12,113,4.64
Armenia,74,2795335,3.77,127,4.35
Georgia,192,3458400,7.06,130,4.30
Grenada,0,96892,3.74,#N/A,#N/A
Antigua and Barbuda,1,91889,1.30,#N/A,#N/A
Saint Vincent and Grenadines,3,100948,17.16,#N/A,#N/A
Seychelles,7,85949,9.11,#N/A,#N/A
Belize,26,319835,11.29,#N/A,#N/A
Puerto Rico,226,3469521,1.57,#N/A,#N/A
Cuba,1511,10832068,16.19,#N/A,#N/A
Republic of Korea,13510,48671752,11.13,#N/A,#N/A
Russian Federation,25432,137018943,2.34,#N/A,#N/A
,,,,,
